,item number,data item,croydon text,croydon main reason for recording data item,essex text,essex main reason for recording local data item,sutton text,sutton main reason for recording local data item,camden text,camden main reason for recording local data item
41,Item 40,Where does the child feel they are at the moment?,,,Where I am at,1. For social work practitioners and/or the child/YP,,,,
42,Item 41,Where child feels they are,,,(Where I am at) My view,1. For social work practitioners and/or the child/YP,,,,
43,Item 42,Where SW feels child is,,,(Where I am at) Wocial worker's view,1. For social work practitioners and/or the child/YP,,,,
49,Item 48,What is being done to support the family currently?,,,What work has already been undertaken to support the family?,2. For management oversight of case decisions and accountability purposes,,,,
58,Item 57,Progress on review decisions,,,Review decisions,1. For social work practitioners and/or the child/YP,,,,
95,Item 93,Category of need,,,Category of need,,,,,
115,Item 114,Does the child want to share their history?,,,Do you want to share your history?,1. For social work practitioners and/or the child/YP,,,,
117,Item 116,Worries about/regarding the child,,,What are we worried about / What is the impact for the child/ young person now? • Is the child/ young person currently receiving any services e.g. therapy/ EWMHS/YOS? • Are there any safeguarding/ behavioural concerns that the carer needs to be aware of? ,1. For social work practitioners and/or the child/YP,,,,
120,Item 119,Child's feelings about parenthood?,,,How do I feel about being a parent and caring for my child?,1. For social work practitioners and/or the child/YP,,,,
121,Item 120,SW Feelings about child's parenthood?,,,My Social Workers/Personal Advisers view,1. For social work practitioners and/or the child/YP,,,,
122,Item 121,Actions regarding parenthood?,,,Actions,1. For social work practitioners and/or the child/YP,,,,
123,Item 122,Where can the child go for parenting advice and support?,,,Where do I go if I need parenting advice or support?,1. For social work practitioners and/or the child/YP,,,,
128,Item 127,Details of child's offences/cautions,,,"Detail: EG when, nature of offence and any actions taken. Please include any historical or current occurrences",1. For social work practitioners and/or the child/YP,,,,
129,Item 128,Youth offending worker,,,Youth offending worker,1. For social work practitioners and/or the child/YP,,,,
132,Item 131,Images of people important to the child + details,,,Images of who is important,1. For social work practitioners and/or the child/YP,,,,
133,Item 132,Child's view on in touch,,,(In touch) My view,1. For social work practitioners and/or the child/YP,,,,
134,Item 133,Parents view's on in touch,,,(In touch) Views of parent,1. For social work practitioners and/or the child/YP,,,,
135,Item 134,Views of significant people on in touch,,,(In touch) Views of significant people,1. For social work practitioners and/or the child/YP,,,,
136,Item 135,Views of social worker on in touch,,,(In touch) Views of Social Worker,1. For social work practitioners and/or the child/YP,,,,
137,Item 136,Notes on in touch,,,(In touch) Notes,1. For social work practitioners and/or the child/YP,,,,
139,Item 138,Forms/info given to child,,,Information shared,1. For social work practitioners and/or the child/YP,,,,
143,Item 141,SW - Signature,,,Worker Signature,1. For social work practitioners and/or the child/YP,,,,
146,Item 144,SW - Email Address,,,Email address,1. For social work practitioners and/or the child/YP,,,,
147,Item 145,SW - Address,,,Address,1. For social work practitioners and/or the child/YP,,,,
148,Item 146,SW - Emergency contact,,,Emergency contact number for out of hours,1. For social work practitioners and/or the child/YP,,,,
162,Item 160,Carer/keyworker - Address,,,Carer(s) details - address,1. For social work practitioners and/or the child/YP,,,,
164,Item 162,Allocated worker -  Name,,,Allocated Workers Name,1. For social work practitioners and/or the child/YP,,,,
165,Item 163,Allocated worker -  Details,,,"Role
Contact Details",1. For social work practitioners and/or the child/YP,,,,
169,Item 167,,,,Address,1. For social work practitioners and/or the child/YP,,,,
178,Item 176,Team Manager - Email,,,Emailaddress,1. For social work practitioners and/or the child/YP,,,,
193,Item 191,Continuing Care Health Needs Assessor,,,Continuing Care Health Needs Assessor,1. For social work practitioners and/or the child/YP,,,,
194,Item 192,Resource Coordinator,,,Resource Coordinator,1. For social work practitioners and/or the child/YP,,,,
195,Item 193,Duty telephone number,,,Duty telephone number,1. For social work practitioners and/or the child/YP,,,,
198,Item 195,Date of consent to share key information with child,,,Date Permission to Share was last reviewed with Young Person (Please see Consent form to confirm what I have consented to.),1. For social work practitioners and/or the child/YP,,,,
200,Item 197,Biometric Resident Permit,,,Biometric Resident Permit (BRP),1. For social work practitioners and/or the child/YP,,,,
201,Item 198,Port/Home Office Number ,,,Port/Home Office Number,1. For social work practitioners and/or the child/YP,,,,
216,Item 213,NHS Number not given reason,,,NHS Number not recorded reason,2. For management oversight of case decisions and accountability purposes,,,,
224,Item 221,Registered to vote?,,,Are they registered to vote?,1. For social work practitioners and/or the child/YP,,,,
225,Item 222,TV License,,,Have they received 1 year's TV License?,1. For social work practitioners and/or the child/YP,,,,
229,Item 226,Other questions about key documents?,,,Any other questions,1. For social work practitioners and/or the child/YP,,,,
230,Item 227,SW's understanding of what needs to come next for key documents,,,SW/PA's understanding of how you are getting on and what they think should happen next,1. For social work practitioners and/or the child/YP,,,,
250,Item 245,Child money - general,,,How well do I manage my money or does someone manage it with me?,1. For social work practitioners and/or the child/YP,,,,
253,Item 248,Has the child been given any savings?,,,Have I been given any savings and if so how much?,1. For social work practitioners and/or the child/YP,,,,
264,Item 259,Child's parents receive benefits or working?,,,Are the parents of the child / young person working and/or claiming benefits?,1. For social work practitioners and/or the child/YP,,,,
265,Item 260,Family's financial situation?,,,Family Financial Situation,1. For social work practitioners and/or the child/YP,,,,
275,Item 270,Confirmation figures in income match those in the Finance Plan,,,Please confirm the figures above match those in the Finance Plan,1. For social work practitioners and/or the child/YP,,,,
277,Item 272,Childs spending of leaving care grant,,,What have I spent my Leaving Care Grant on to date and how much is left?,1. For social work practitioners and/or the child/YP,,,,
283,Item 278,Measure of progress on finance actions,,,How do I know this is completed or progressing?,1. For social work practitioners and/or the child/YP,,,,
284,Item 279,Who can child ask for help on financial questions?,,,"If I need more help, who can help me?",1. For social work practitioners and/or the child/YP,,,,
325,Item 319,Review of actions on living place date,,,Review date,1. For social work practitioners and/or the child/YP,,,,
331,Item 325,What can the child do if they are having problems where they live,,,What will I do if I am having problems where I live?,1. For social work practitioners and/or the child/YP,,,,
333,Item 326,Education (general),,,Education ,1. For social work practitioners and/or the child/YP,,,,
339,Item 332,"Days and times child attends education, employment, training",,,Provide details of days and times,1. For social work practitioners and/or the child/YP,,,,
359,Item 352,Childs options If having EET problems,,,What will I do if I am having problems with my education or employment?,1. For social work practitioners and/or the child/YP,,,,
382,Item 375,Special Educational Needs Practitioners,,,Special Educational Needs Practitioners,1. For social work practitioners and/or the child/YP,,,,
402,Item 394,Date dental check refused,,,Date dental check refused,1. For social work practitioners and/or the child/YP,,,,
403,Item 395,Dental comments,,,Dental comments,1. For social work practitioners and/or the child/YP,,,,
423,Item 415,Is the child's disability life threatening/life-limiting?,,,Is the disability life-limiting/ life threatening?,1. For social work practitioners and/or the child/YP,,,,
424,Item 416,Details of disability,,,"Comments

If yes, what disability/condition does the child/young person have?",1. For social work practitioners and/or the child/YP,,,,
425,Item 417,Does the Child/Young Person have an undiagnosed condition or disability? ,,,Does the Child/Young Person have an undiagnosed condition or disability? ,1. For social work practitioners and/or the child/YP,,,,
426,Item 418,Details of undiagnosed condition or disability,,,Please provide details,1. For social work practitioners and/or the child/YP,,,,
438,Item 430,Does the child need specialist care?,,,"Does the Child/Young Person require a specialised service? E.G. Physical Care, Mental Health ",1. For social work practitioners and/or the child/YP,,,,
439,Item 431,Details of specialist care needed by child,,,Please provide information on the specialised care,1. For social work practitioners and/or the child/YP,,,,
460,Item 452,Review of health actions date,,,Review date,1. For social work practitioners and/or the child/YP,,,,
470,Item 462,Who can child contact for health problems?,,,"Health contacts

What will I do if I am having any health problems?",1. For social work practitioners and/or the child/YP,,,,
504,Item 495,Contact  (Support),,,Contact for child/young person - Support from contact,1. For social work practitioners and/or the child/YP,,,,
505,Item 496,Contact (additional costs being met),,,Contact for child/young person - additional costs being met,1. For social work practitioners and/or the child/YP,,,,
533,Item 524,Has placement form been redacted for sharing with restricted parties?,,,If the location of the placement is not being disclosed with the child's parent/s for saftey reasons has this form been adjusted or printed in the correct view to remove identifying information?,2. For management oversight of case decisions and accountability purposes,,,,
571,Item 561,CYP's views on expectations,,,Child/young person's views,1. For social work practitioners and/or the child/YP,,,,
596,Item 585,Can the child live independently long term?,,,"With support and treatment, will the Child/Young Person be able to live independently in the long term?",1. For social work practitioners and/or the child/YP,,,,
601,Item 590,Child's self care skills - views of significant people,,,(My life skills) Views of others,1. For social work practitioners and/or the child/YP,,,,
602,Item 591,SW's view on child's self care skills,,,(My life skills) Views of social worker,1. For social work practitioners and/or the child/YP,,,,
608,Item 597,Measure of progress on independence skills,,,How do I know this is completed or progressing?,1. For social work practitioners and/or the child/YP,,,,
609,Item 598,Review of independence skills actions,,,Review Date,1. For social work practitioners and/or the child/YP,,,,
614,Item 603,Who can the child ask for more help on independence skills?,,,"If I need more help, who can help me?",1. For social work practitioners and/or the child/YP,,,,
620,Item 608,Pathway Plan Review Date,,,Date of next review,4. For statutory data requirements outside of the Annex A or 903 returns,,,,
673,Item 661,Copy of placement plan provided to: Carer,,,Copy of placement plan provided to: foster carer/ residential worker,1. For social work practitioners and/or the child/YP,,,,
704,Item 692,Is a review of the current plan needed?,,,Is a Panel Review required?,1. For social work practitioners and/or the child/YP,,,,
711,Item 699,Are plans in addition to the overall plan being considered?,,,"Are other plans being considered?
Other plans we are thinking about",1. For social work practitioners and/or the child/YP,,,,
712,Item 700,Overall plan (tickbox),,,This is the main plan for you at the moment,1. For social work practitioners and/or the child/YP,,,,
713,Item 701,Details of current plan,,,Details,1. For social work practitioners and/or the child/YP,,,,
714,Item 702,Child's view on care/life plan,,,My view,1. For social work practitioners and/or the child/YP,,,,
715,Item 703,Views of significant people on care/life plan,,,Views of significant people,1. For social work practitioners and/or the child/YP,,,,
739,Item 727,Workers view on safety,,,My Social Workers/Personal Advisers view,1. For social work practitioners and/or the child/YP,,,,
740,Item 728,Actions on child's safety,,,Actions,1. For social work practitioners and/or the child/YP,,,,
755,Item 743,Manager's comments on Pathway Plan,,,Managers comments,1. For social work practitioners and/or the child/YP,,,,
756,Item 744,Pathway Plan next steps,,,What is the next step for this case?,3. For LA reporting purposes and generating performance indicators,,,,
764,Item 751,Outcome of previous panel requests,,,"If this case has previously been presented to Panel, please give date and outcome",1. For social work practitioners and/or the child/YP,,,,
765,Item 752,Panel name,,,Panel Name,2. For management oversight of case decisions and accountability purposes,,,,
767,Item 754,Placement requirement date reason,,,Please provide reason why placement is needed on this date,1. For social work practitioners and/or the child/YP,,,,
771,Item 758,All sections in placement plan completed?,,,Have all the sections of the placement plan been completed?,1. For social work practitioners and/or the child/YP,,,,
772,Item 759,"If all sections have not been completed, when will this happen?",,,"If no, whan is it planned to be completed?",1. For social work practitioners and/or the child/YP,,,,
773,Item 760,Date all sections actually completed?,,,Date actually completed,2. For management oversight of case decisions and accountability purposes,,,,
777,Item 764,Placement exit plan?,,,How long will this resource be needed for and what is the Exit / Progression Plan?,1. For social work practitioners and/or the child/YP,,,,
786,Item 773,Details of previous placements,,,Has the Child/Young Person had previous placements and how many? Please provide details and reasons.,,,,,
798,Item 785,Type of residential Placement,,,Please select Type of Residential Placement,1. For social work practitioners and/or the child/YP,,,,
799,Item 786,Proposed placement carer name,,,Type of placement and name of carer if applicable,1. For social work practitioners and/or the child/YP,,,,
857,Item 844,Where was the child previously looked after outside of England?,,,Please specify where the child/young person was looked after outside England.,1. For social work practitioners and/or the child/YP,,,,
863,Item 850,Specify other placement authorisation,,,"If ""Other"" then who authorised the placmeent outside of the panel",1. For social work practitioners and/or the child/YP,,,,
874,Item 861,Other placement request relevant information,,,Any other relevant information:,1. For social work practitioners and/or the child/YP,,,,
884,Item 871,Current placement cost,,,Details of current package including weekly costs how they are being used,1. For social work practitioners and/or the child/YP,,,,
887,Item 874,Who are placement related payments to be made to?,,,Name of person to whom the direct payment will be made if applicable,2. For management oversight of case decisions and accountability purposes,,,,
888,Item 875,Do parents know they may have to financially contribute to the child?,,,Are parents aware that they may be liable to pay a financial contribution to their child / children’s care?,1. For social work practitioners and/or the child/YP,,,,
891,Item 878,Purchasing Team and District,,,Purchasing Team and District,2. For management oversight of case decisions and accountability purposes,,,,
895,Item 882,Placement request signature,,,Team Manager Signature,2. For management oversight of case decisions and accountability purposes,,,,
908,Item 895,Details of approved panel request,,,Details of approved request,2. For management oversight of case decisions and accountability purposes,,,,
929,Item 916,Placement distance from home,,,Placement distance from home in miles,3. For LA reporting purposes and generating performance indicators,,,,
932,Item 919,Placement locality 3rd choice,,,Locality/Area – 3rd Choice,1. For social work practitioners and/or the child/YP,,,,
933,Item 920,Placement locality 2nd choice,,,Locality/Area – 2nd Choice,1. For social work practitioners and/or the child/YP,,,,
934,Item 921,Placement locality 1st choice,,,Locality/Area – 1st Choice,1. For social work practitioners and/or the child/YP,,,,
1032,Item 1018,Provision of information to child,,,Provision of information to child,1. For social work practitioners and/or the child/YP,,,,
1129,Item 1112,Care plan meeting venue,,,Venue,1. For social work practitioners and/or the child/YP,,,,
1130,Item 1113,IRO view on what's going well in care plan,,,What is going well?,1. For social work practitioners and/or the child/YP,,,,
1131,Item 1114,IRO view on what's not going well in care plan,,,What is going less well?,1. For social work practitioners and/or the child/YP,,,,
1132,Item 1115,IRO view on changes to be made to care plan,,,What needs to happen?,1. For social work practitioners and/or the child/YP,,,,
1136,Item 1119,Does the child have a care plan of Long Term Fostering?,,,Does the child have a care plan of Long Term Fostering?,1. For social work practitioners and/or the child/YP,,,,
1236,Item 1219,Have parents been given LAC information,,,Have the parent(s) been given information about the placement?,1. For social work practitioners and/or the child/YP,,,,
1247,Item 1230,Bail conditions information,,,Bail conditions information,1. For social work practitioners and/or the child/YP,,,,
1248,Item 1231,Child subject to curfew or tag?,,,Is YP subject to a curfew or tag?,,,,,
1249,Item 1232,Details of child's court proceedings/offences/cautions,,,Please provide details,1. For social work practitioners and/or the child/YP,,,,
1361,Item 1341,Residential post required post 18?,,,Will the Child/Young Person require a residential placement post 18?,1. For social work practitioners and/or the child/YP,,,,
1434,Item 1412,Date placmeent plan copied to all parties,,,Date copied to all parties,1. For social work practitioners and/or the child/YP,,,,
1435,Item 1413,Date notification of placmeent sent (regulation 13),,,Date written notification of the placmeent was sent to specified agencies/people (regulation 13),1. For social work practitioners and/or the child/YP,,,,
1436,Item 1414,Additional information given for children placed with parents?,,,For children placed at home with parents has the additional information been provided?,1. For social work practitioners and/or the child/YP,,,,
1457,Item 1434,Visit Type,,,Visit Type,1. For social work practitioners and/or the child/YP,,,,
1458,Item 1435,Assessment Visit Timescales,,,Assessment Visit Timescales,1. For social work practitioners and/or the child/YP,,,,
1459,Item 1436,Care Leaver Visit Timescales,,,Care Leaver Visit Timescales,1. For social work practitioners and/or the child/YP,,,,
1460,Item 1437,CIN Visit Timescales,,,CIN Visit Timescales,1. For social work practitioners and/or the child/YP,,,,
1461,Item 1438,CIC Visit Timescales,,,CIC Visit Timescales,1. For social work practitioners and/or the child/YP,,,,
1462,Item 1439,CP Visit Timescales,,,CP Visit Timescales,1. For social work practitioners and/or the child/YP,,,,
1463,Item 1440,SW visit frequency,,,How frequently will they visit the placement?,1. For social work practitioners and/or the child/YP,,,,
1464,Item 1441,IRO visit frequency,,,How frequently will they visit the placement?,1. For social work practitioners and/or the child/YP,,,,
1465,Item 1442,Venue,,,Venue,1. For social work practitioners and/or the child/YP,,,,
1487,Item 1464,SW's recommendations from visit,,,Social Worker's/Case Worker's recommendations,1. For social work practitioners and/or the child/YP,,,,
1494,Item 1471,Announced or unannounced visit?,,,Visit unannounced?,1. For social work practitioners and/or the child/YP,,,,
1495,Item 1472,Due Date of Next Visit,,,Due Date of Next Visit,1. For social work practitioners and/or the child/YP,,,,
1553,Item 1527,Type of IRO review,,,Is this a CIC or Adoption Review?,1. For social work practitioners and/or the child/YP,,,,
1554,Item 1528,Type of IRO Review meeting?,,,Which type of Review Meeting is this?,1. For social work practitioners and/or the child/YP,,,,
1556,Item 1530,Is adoption one of the plans for this child?,,,Is Adoption one of the plans for this child?,1. For social work practitioners and/or the child/YP,,,,
1567,Item 1541,Date/venue of next review,,,Next review,1. For social work practitioners and/or the child/YP,,,,
1591,Item 1565,Update on decisions from previous IRO meeting,,,Update on previous review meeting decisions(if applicable),1. For social work practitioners and/or the child/YP,,,,
1592,Item 1566,Decisions from this IRO meeting,,,Review decisions from this meeting,1. For social work practitioners and/or the child/YP,,,,
1593,Item 1567,Does the child know how to access their records?,,,Has the child/young person received information from the IRO about accessing their records?,1. For social work practitioners and/or the child/YP,,,,
1594,Item 1568,Venue the child was met with?,,,Venue where the child/young person participated in their Review process,1. For social work practitioners and/or the child/YP,,,,
1595,Item 1569,Was the meeting in school/college hours?,,,Was the meeting with the child/young person held in school/college hours?,1. For social work practitioners and/or the child/YP,,,,
1596,Item 1570,"If the IRO meeting wasn't in the child's placement, why not?",,,"If the meeting with the child/young person wasn't held in placement, why not?",1. For social work practitioners and/or the child/YP,,,,
1597,Item 1571,IRO notes on meeting,,,Notes re. consultation and participation and anything re. the documents available for review,1. For social work practitioners and/or the child/YP,,,,
1598,Item 1572,IRO strength based review of leisure and friends,,,Strength based review,1. For social work practitioners and/or the child/YP,,,,
1599,Item 1573,IRO space for any other points,,,Anything else?,1. For social work practitioners and/or the child/YP,,,,
1600,Item 1574,IRO thoughts on care/adoption plan,,,Care/adoption plan,1. For social work practitioners and/or the child/YP,,,,
1601,Item 1575,Does IRO support this care plan and placement/provision?,,,Does the IRO support this care plan and placement/provision?,1. For social work practitioners and/or the child/YP,,,,
3,Item 3,Preferred name,Preferred Name,1. For social work practitioners and/or the child/YP,,,,,,
12,Item 12,Address Type,Address Type,1. For social work practitioners and/or the child/YP,,,,,,
66,Item 65,Child's goals,My Goals:,1. For social work practitioners and/or the child/YP,,,,,,
67,Item 66,Future plans (1-5 years),Where would I like to be and what I would like to be doing in 1-5 years' time?,1. For social work practitioners and/or the child/YP,,,,,,
68,Item 67,Who can help child reach their goals,Who will help me?,1. For social work practitioners and/or the child/YP,,,,,,
69,Item 68,Pathway plan ID form date completed,Date,1. For social work practitioners and/or the child/YP,,,,,,
71,Item 70,Workers view of identity,My Workers View - Views,1. For social work practitioners and/or the child/YP,,,,,,
72,Item 71,Other's view of identity,Other people's view - Views,1. For social work practitioners and/or the child/YP,,,,,,
73,Item 72,Child's self description,How do you describe yourself?,1. For social work practitioners and/or the child/YP,,,,,,
82,Item 80,Child aspirations/things to change,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
83,Item 81,Measure of goals met or changes made,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
97,Item 95,Trafficking risks for child?,"Are there any concerns about the young person being trafficked?

Is this young person considered at risk of child sexual exploitation / trafficking* / other personal safety concerns?",1. For social work practitioners and/or the child/YP,,,,,,
98,Item 96,Details about trafficking or exploitation risks?,"Give more details of the exploitation risks including concerns about trafficking if relevant

If so, please describe",1. For social work practitioners and/or the child/YP,,,,,,
100,Item 98,Details on child's gang links,Give more details,1. For social work practitioners and/or the child/YP,,,,,,
102,Item 100,Details on child going missing?,Give more details,1. For social work practitioners and/or the child/YP,,,,,,
103,Item 101,Are there more risks or vulnerabilities for the child?,"Are there any other vulnerabilities, concerns or risks associated with this child/young person?",1. For social work practitioners and/or the child/YP,,,,,,
104,Item 102,Details for other risks and vulnerabilities?,Give more details,1. For social work practitioners and/or the child/YP,,,,,,
106,Item 104,What support does the child need to communicate wishes and feelings?,What additional support or resource would be required to facilitate this?,1. For social work practitioners and/or the child/YP,,,,,,
110,Item 108,Details of release from remand status,Conditions of release,1. For social work practitioners and/or the child/YP,,,,,,
111,Item 109,Forthcoming remand appointments,Are there any forthcoming appointments?,1. For social work practitioners and/or the child/YP,,,,,,
112,Item 110,Restrictions as a result of remand,Are there any restrictions?,1. For social work practitioners and/or the child/YP,,,,,,
124,Item 123,Child has solicitor?,Has the child / young person got a solicitor,1. For social work practitioners and/or the child/YP,,,,,,
125,Item 124,Who is the child's solicitor?,"if so, whom?",1. For social work practitioners and/or the child/YP,,,,,,
126,Item 125,Date for judicial review?,Is there a date for a Judicial Review?,1. For social work practitioners and/or the child/YP,,,,,,
130,Item 129,Financial pathway plan for before child's 18th birthday?,Is this the final Pathway Plan before this Young Person’s 18th Birthday?,1. For social work practitioners and/or the child/YP,,,,,,
138,Item 137,Personal Advisor allocated and met with the YP?,Has the PA been allocated and met with the YP,,,,,,,
140,,,"In Croydon, all details of involved parties are recorded on cases in case files",,,,,,,
196,Item 194,KITel,Telephone,1. For social work practitioners and/or the child/YP,,,,,,
203,Item 200,Full Driving License,Full Driving Licence,1. For social work practitioners and/or the child/YP,,,,,,
204,Item 201,Home Office Documents,Home Office documents,1. For social work practitioners and/or the child/YP,,,,,,
207,Item 204,Passport number,Passport Number,1. For social work practitioners and/or the child/YP,,,,,,
208,Item 205,National insurance number,National Insurance Number,1. For social work practitioners and/or the child/YP,,,,,,
211,Item 208,Child has birth certificate?,Do you have a Birth Certificate?,1. For social work practitioners and/or the child/YP,,,,,,
212,Item 209,How will child obtain a birth certificate,What is the plan to get one?,1. For social work practitioners and/or the child/YP,,,,,,
227,Item 224,Which forms have been given to the placement provider/carer?,Documents provided to the provider/carer.,1. For social work practitioners and/or the child/YP,,,,,,
228,Item 225,Specify other forms provided to the provider/carer,"If other, please specify",1. For social work practitioners and/or the child/YP,,,,,,
232,Item 228,Difficulties/trouble in area lived in?,Do you experience any difficulty or get into trouble in the area you live in?,1. For social work practitioners and/or the child/YP,,,,,,
233,Item 229,Specify difficulties/trouble in area lived in,Please Specify,1. For social work practitioners and/or the child/YP,,,,,,
234,Item 230,Child or other worried about lived in area or child's choices?,Are you or anyone that knows you worried about the community you live in or the choices you make?,1. For social work practitioners and/or the child/YP,,,,,,
235,Item 231,Specify worried about area lived in or choices,Please Specify,1. For social work practitioners and/or the child/YP,,,,,,
238,Item 234,Actions if child is in difficulty or trouble in the community,What will we do if you find yourself in difficulty or trouble in your community?,1. For social work practitioners and/or the child/YP,,,,,,
240,Item 236,Measure achievement of aspirations or changes,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
241,Item 237,Actions to achieve aspirations or changes,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
242,Item 238,Who will foster aspirations/change in child's life,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
243,Item 239,When will aspirations/changes be met/made?,When?,1. For social work practitioners and/or the child/YP,,,,,,
244,Item 240,Aspirations form date,Date,1. For social work practitioners and/or the child/YP,,,,,,
245,Item 241,Aspirations form score,Score,1. For social work practitioners and/or the child/YP,,,,,,
246,Item 242,Child's view on aspirations,My View - Views,1. For social work practitioners and/or the child/YP,,,,,,
247,Item 243,Worker's view on aspirations,My Workers View - Views,1. For social work practitioners and/or the child/YP,,,,,,
248,Item 244,Other's view on aspirations,Other people's view - Views,1. For social work practitioners and/or the child/YP,,,,,,
255,Item 250,Reason for saving money?,Describe the reason for your answer,1. For social work practitioners and/or the child/YP,,,,,,
256,Item 251,Foster carer savings?,Are there foster carer savings?,1. For social work practitioners and/or the child/YP,,,,,,
257,Item 252,Contacts about savings?,Who should be contacted regarding the young person’s savings?,1. For social work practitioners and/or the child/YP,,,,,,
258,Item 253,Savings from foster carer  or ISA to be paid to child?,Are there any foster carer savings or Junior ISA which need to be paid to the young person?,1. For social work practitioners and/or the child/YP,,,,,,
259,Item 254,Details about savings to be given to child?,"If yes, please give details?",1. For social work practitioners and/or the child/YP,,,,,,
260,Item 255,Child in debt?,Are you in debt?,1. For social work practitioners and/or the child/YP,,,,,,
261,Item 256,How much debt and to whom?,Describe how much and to whom,1. For social work practitioners and/or the child/YP,,,,,,
262,Item 257,Child receives benefits?,Are you receiving any benefits?,1. For social work practitioners and/or the child/YP,,,,,,
263,Item 258,Details of child's benefits?,Provide details,1. For social work practitioners and/or the child/YP,,,,,,
266,Item 261,Date of check of welfare benefits rights?,When will a welfare rights benefit check occur?,1. For social work practitioners and/or the child/YP,,,,,,
267,Item 262,Education support funding,Are you receiving funding to support your education?,1. For social work practitioners and/or the child/YP,,,,,,
268,Item 263,Details about education support funding,Please specify,1. For social work practitioners and/or the child/YP,,,,,,
271,Item 266,Child needs help to save money?,What will happen if you need help to manage your money?,1. For social work practitioners and/or the child/YP,,,,,,
285,Item 280,Date of financial pathway plan form,Date,1. For social work practitioners and/or the child/YP,,,,,,
287,Item 282,Child's views on finance plan,My View - Views,1. For social work practitioners and/or the child/YP,,,,,,
290,Item 285,Is the child attending university/interviews outside of area of placement and needs financial assistance?,Is the young person planning to go to university outside London and so will require assistance towards the costs of (a) attending interviews / open days and (b) vacation accommodation?,1. For social work practitioners and/or the child/YP,,,,,,
291,Item 286,Contingency plan if financial support cannot be given to attend university?,What would be the contingency plan if any of the above arrangements fall through or cannot be financed?,1. For social work practitioners and/or the child/YP,,,,,,
293,Item 288,Source of finances/funds,Source,1. For social work practitioners and/or the child/YP,,,,,,
294,Item 289,Regularity of finance,Regularity,1. For social work practitioners and/or the child/YP,,,,,,
295,Item 290,Amount in financial arrangements?,Amount,1. For social work practitioners and/or the child/YP,,,,,,
296,Item 291,DWP/financial appointee comments,DWP Appointee/Financial Appointeeship - Comments,1. For social work practitioners and/or the child/YP,,,,,,
297,Item 292,Setting Up Home Allowance,Setting Up Home Allowance,1. For social work practitioners and/or the child/YP,,,,,,
298,Item 293,Higher Education bursary payments,Higher Education bursary payments,1. For social work practitioners and/or the child/YP,,,,,,
299,Item 294,Is there a potential for joint funding for the placement,Is there potential for joint funding?,1. For social work practitioners and/or the child/YP,,,,,,
300,Item 295,Can joint funding be provided for the child's health,Health,1. For social work practitioners and/or the child/YP,,,,,,
301,Item 296,Can join funding be provided for the child's education,Education,1. For social work practitioners and/or the child/YP,,,,,,
302,Item 297,Assistance towards costs of vacation accommodation if required by young person,Assistance towards costs of vacation accommodation if required by young person,1. For social work practitioners and/or the child/YP,,,,,,
303,Item 298,Student loan,Student loan,1. For social work practitioners and/or the child/YP,,,,,,
304,Item 299,Savings due from foster carer(s),Savings due from foster carer(s),1. For social work practitioners and/or the child/YP,,,,,,
305,Item 300,Junior ISA,Junior ISA,1. For social work practitioners and/or the child/YP,,,,,,
306,Item 301,Other financial arrangements,Other,1. For social work practitioners and/or the child/YP,,,,,,
307,Item 302,Child's support arrangements,Support arrangements,1. For social work practitioners and/or the child/YP,,,,,,
309,Item 303,Landlord/letting agent details,Landlord/Letting agency details,1. For social work practitioners and/or the child/YP,,,,,,
310,Item 304,Housing register number,Housing Register Number,1. For social work practitioners and/or the child/YP,,,,,,
326,Item 320,Living place form date,Date,1. For social work practitioners and/or the child/YP,,,,,,
332,,,In Croydon this can all be recorded in the education section of case files,,,,,,,
356,Item 349,Specify worries about EET choices?,Please Specify,1. For social work practitioners and/or the child/YP,,,,,,
358,Item 351,Details of child's educational equipment requirements,"If yes, please provide information here",1. For social work practitioners and/or the child/YP,,,,,,
360,Item 353,How can changes be made to EET?,"What will happen if changes need to be made about your education, training or employment?",1. For social work practitioners and/or the child/YP,,,,,,
362,Item 355,Measures for aspirations/change sin EET?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
363,Item 356,Actions to achieve aspirations/changes in EET?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
364,Item 357,Who will perform actions to reach aspirations/changes in EET?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
365,Item 358,When will actions be made to change EET?,When?,1. For social work practitioners and/or the child/YP,,,,,,
366,Item 359,Date of EET form?,Date,1. For social work practitioners and/or the child/YP,,,,,,
370,Item 363,Other's view on EET form,Other people's view - Views,1. For social work practitioners and/or the child/YP,,,,,,
383,,,In Croydon this can all be recorded in the Health section of the case file,,,,,,,
386,Item 378,Child's emotional wellbeing,Our Child's / Young Person's Emotional Well-being,1. For social work practitioners and/or the child/YP,,,,,,
407,Item 399,Midwife / Health Visitor / Family Nurse name,Midwife / Health Visitor / Family Nurse: - Name,1. For social work practitioners and/or the child/YP,,,,,,
