data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 677,Is assistance being given to find private accommodation?,,,Is the young person being assisted to seek their own privately-rented accommodation?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 678,Other relevant housing information?,,,Other relevant information,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 679,Carer and child signed License Agreement template?,,,Have the foster carer and young person signed copies of the Licence Agreement template?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 680,Proposed arrangement ratified by the Placement Stability Panel?,,,Has the proposed arrangement been ratified by the Placement Stability Panel? Date:,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 681,Timeframe of proposed arrangement?,,,"How long is it proposed that the arrangement will last? , from :…………………………, to : …………………………",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 682,Plan after current plan?,,,What would be the plan subsequently?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 683,Other relevant plan information?,,,Other relevant information,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 684,Child lives with family?,,,Live with family,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 685,Which family does the child live with?,,,"If so, whom?",,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 686,Transition to adult services within All-age Disability Service?,,,Transition to adult services within All-age Disability Service?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 687,Does the child have dependents?,,,Does the young person have any dependants?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 688,Child's desired outcome for dependents,,,Desired Outcome,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 689,Actions to achieve child's desired outcome for independents?,,,Actions to Achieve Outcome,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 690,"Who will take actions for desired outcome for child's dependents, and by when?",,,By whom & when (please give start & end dates),,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 691,What is the contingency plan if desired outcome for child's dependents cannot be made?,,,What would be the contingency plan if any of the above arrangements fall through or cannot be financed?,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 694,Child under 18?,,,Is this child under 18?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 696,Transition Plan,,,Transition Plan,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 704,What action will be taken for a permanency plan?,,,Action,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 705,Who will take action on a permanency plan?,,,Who?,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 706,When will action be taken on a permanency plan?,,,When?,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 707,What permanency plan does this relate to?,,,Which Permanency Plan does this relate to?,CLA Care Plan: Perm Plan,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 716,Which professional will be involved in the plan?,,,Professional,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 717,What agency will take on the plan?,,,Agency,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 718,What is the agency's role in the plan?,,,Agency Role,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 722,What is the agency's telephone number?,,,Telephone Number,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 723,Young Person's Guardians,,,Young Person's Guardians,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 724,What area is the care plan to take place in?,,,Young Person's Safety Mapping,"Upper Norwood
Norbury
Thornton Heath
South Norwood
West Thornton
Bensham Manor
Broad Green
Woodside
Waddon
Fairfield
Addiscombe
Ashburton
Shirley
Selhurst
Heathfield
Croham
Selsdon & Ballards
Fieldway
New Addington
Purley
Sanderstead
Kenley
Coulsdon West
Coulsdon East
Other
Other AreasUpper Norwood
Norbury
Thornton Heath
South Norwood
West Thornton
Bensham Manor
Broad Green
Woodside
Waddon
Fairfield
Addiscombe
Ashburton
Shirley
Selhurst
Heathfield
Croham
Selsdon & Ballards
Fieldway
New Addington
Purley
Sanderstead
Kenley
Coulsdon West
Coulsdon East
Other
Other Areas",CLA Care Plan,,,,,,,,,,,,,,,,
,Item 725,How can the child travel when in care?,,,How do I travel safely?,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 732,Who can the child in care contact?,,,The person I can contact is...,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 733,"The child's contact, if they are in danger",,,Their contact details are...,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 739,Actions to achieve goals of permanency plan?,,,Actions to achieve this,,"CLA Progress Report (Worker)
Pathway Plan Review - Workers Report",,,,,,,,,,,,,,,,
,Item 740,Who will perform the actions for the permanency plan goals?,,,Who will do this?,,"CLA Progress Report (Worker)
Pathway Plan Review - Workers Report",,,,,,,,,,,,,,,,
,Item 741,When will the actions for the permanency plan goals be taken?,,,When?,,"CLA Progress Report (Worker)
Pathway Plan Review - Workers Report",,,,,,,,,,,,,,,,
,Item 742,Comment on the progress of the permanency plan,,,Progress & Comment,,"CLA Progress Report (Worker)
Pathway Plan Review - Workers Report",,,,,,,,,,,,,,,,
,Item 745,Is the SW completing the CLA request the assigned social worker?,,,Is this the Allocated Social Worker,CLA Request for Child to be Looked After: 1.Yes/0.No,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 747,Has agreement to seek a placement been given by a panel?,,,Has agreement to seek a placement been given by a panel?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 749,Who is making the placement request,,,Placement requested by,,Placement Request,,,,,,,,,,,,,,,,
,Item 756,Is the CLA request for urgent placement?,,,Is this an emergency placement?,CLA Request for Child to be Looked After: 1.Yes/0.No,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 768,Is the CLA request for UASC or unaccompanied minor?,,,Unaccompanied minor or asylum seeker?,CLA Request for Child to be Looked After: 1.Yes/0.No,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 774,What type of placement will suit the child?,,,What type of placement do you think would meet our Child's / Young Person's need?,,Placement Request,,,,,,,,,,,,,,,,
,Item 779,What does the child want from a placement?,,,What does the Child / Young Person want from the placement?,,Placement Request,,,,,,,,,,,,,,,,
,Item 781,What good things can be taken from previous placements?,,,What is going well for this Child / Young Person that can be built on in the placement (outcomes)?,,Placement Request,,,,,,,,,,,,,,,,
,Item 782,View of independent officer for placement change?,,,View of the Independent Reviewing Officer to the placement change,,Placement Request,,,,,,,,,,,,,,,,
,Item 783,Who has granted the placement/change of placement?,,,Who has agreed to the new placement or change of placement?,Placement Request: Panel,Placement Request,,,,,,,,,,,,,,,,
,Item 789,Do we know where the child's placement will be?,,,Do we already know where the child/young person is going?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 796,Is the placement request for an unregulated setting?,,,Is this request for an unregulated setting?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 797,Has the unregulated placement assessment been completed?,,,Has an Unregulated Setting Placement Assessment been completed?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 798,When was the unregulated placement assessment signed off?,,,Date Unregulated Setting Placement Assessment was signed off by Director?,,Placement Request,,,,,,,,,,,,,,,,
,Item 799,Placement options appraisal,,,Options Appraisal,,Placement Request,,,,,,,,,,,,,,,,
,Item 805,Details on other placement request reason,,,Other,,Placement Request,,,,,,,,,,,,,,,,
,Item 833,Name of manager agreeing to matching,,,Name of Manager who agreed matching,,Placement Request,,,,,,,,,,,,,,,,
,Item 837,Why did the previously in care child leave care?,,,If yes please indicate reason for previous discharge,CLA Request for Child to be Looked After: If yes please indicate reason for previous discharge,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 839,"In which LA was adoption, SGO or RO granted?",,,"What local authority was the adoption, SGO or RO granted",,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 848,Other information to help identify a child's ideal placement?,,,Any other information which would help us to identify the best placement for this child/young person,,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 851,Who is the head of the CLA authorisation service?,,,Please select which Head of service,,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 852,Name of CLA request panel chair/approver?,,,Name of Approver/Panel Chair,,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 853,Details of CLA request,,,Details of Agreement,,CLA Request for Child to be Looked After,,,,,,,,,,,,,,,,
,Item 863,Comments on child's transportation needs,,,Comments,,Placement Request,,,,,,,,,,,,,,,,
,Item 864,Details of review agreement,,,Details of Care Panel Agreement,,Placement Request,,,,,,,,,,,,,,,,
,Item 865,Date of review decision,,,Care Panel Decision Date,,Placement Request,,,,,,,,,,,,,,,,
,Item 868,Placement agency,,,Agency,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 870,Has the high cost placement request been completed,,,High Cost Placement Review Complete,Placement Request: High Cost Placement Review Complete,Placement Request,,,,,,,,,,,,,,,,
,Item 872,Placement Request: Placement Band,,,Placement Type,Placement Request: Placement Band,Placement Request,,,,,,,,,,,,,,,,
,Item 873,Placement Request: Banding,,,Band,Placement Request: Banding,Placement Request,,,,,,,,,,,,,,,,
,Item 880,Placement request chair comments,,,Chair Comments,,Placement Request,,,,,,,,,,,,,,,,
,Item 881,Placement request sign off name,,,Signed Off By,,Placement Request,,,,,,,,,,,,,,,,
,Item 884,Head of Service agreement for placement?,,,Has agreement to seek a placement been given by a HoS?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 885,Which head of service agreed to placement?,,,Which Head of Service gave agreement?,,Placement Request,,,,,,,,,,,,,,,,
,Item 886,Details of head of service agreement,,,Details of Head of Service Agreement,,Placement Request,,,,,,,,,,,,,,,,
,Item 887,Head of service decision date,,,HoS Decision Date,,Placement Request,,,,,,,,,,,,,,,,
,Item 888,Is the placement request accurate and relevant?,,,Have you reviewed this request and confirmed the information provided is accurate and relevant?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 889,Manager authorising request,,,Authorising Manager,,Placement Request,,,,,,,,,,,,,,,,
,Item 891,Placement lead,,,Placement Lead,,Placement Request,,,,,,,,,,,,,,,,
,Item 905,Does the LA have fostering vacancies available?,,,Were there Croydon Fostering vacancies available?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 906,Why were the LA's fostering vacancies unused?,,,"If yes, why are they not being used?","Unable to get hold of the carer
Carer does not have the skill set to meet the needs of the child
Placement requested out of borough
Health Reasons
Only accept planned placements
Carer is approved for a specific age range, however, has an age preference
Room not ready (e.g. disrepair)
Not an ethnic match
Carer has commitments (an issue for emergency placements)
Carers are on a break for various reasons e.g. bereavement, health, family
Carers are downsizing
No locks on internal doors
No vacancies
Other

",Placement Request,,,,,,,,,,,,,,,,
,Item 907,Name of manager who agreed to external placement,,,Name of Manager who agreed to go external,,Placement Request,,,,,,,,,,,,,,,,
,Item 908,Date external placement was agreed to,,,Date,,Placement Request,,,,,,,,,,,,,,,,
,Item 909,Is the placement on or off framework,,,Is this on or off framework?,Placement Request: Is this On or Off Framework?,Placement Request,,,,,,,,,,,,,,,,
,Item 910,Why is the placement off framework,,,"If Off Framework, reasons why?","No positive responses on Framework
Unable to meet location requested
Unable to meet the needs of child/YP
Unable to match
No vacancies
Other",Placement Request,,,,,,,,,,,,,,,,
,Item 911,Is the placement a SPOT purchase?,,,Is this a SPOT purchase?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 912,Which manager agreed to an off framework placement,,,Name of Manager who agreed to go off framework,,Placement Request,,,,,,,,,,,,,,,,
,Item 913,Date of off framework placement agreement,,,Date,,Placement Request,,,,,,,,,,,,,,,,
,Item 917,Placement location boundary,,,Placement Location,Placement Request: Placement Boundary,Placement Request,,,,,,,,,,,,,,,,
,Item 922,Has the LA of placement been consulted,,,Have you consulted with the relevant Local Authority?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 923,What was the out of LA placement consultation outcome,,,What was the outcome of the conversation?,,Placement Request,,,,,,,,,,,,,,,,
,Item 924,What have you not spoken to the out of LA placement LA,,,Why have you not spoken to the relevant Local Authority?,,Placement Request,,,,,,,,,,,,,,,,
,Item 925,What will happen if the child goes missing?,,,"Should the child go missing, what are the arrangements for the return home interview?",,Placement Request,,,,,,,,,,,,,,,,
,Item 926,Is the placement unregulated/uninspected?,,,Is this an unregulated or uninspected placement?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 927,What type of placement is it?,,Placement type,What type of placement is it?,Placement Request: What type of placement is it?,Placement Request,,,,,,,,,,,,,,,,
,Item 929,Has the LA seen the compliance documents?,,,Have we seen compliance documents?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 930,When will the LA see the compliance documents?,,,When will we see these?,,Placement Request,,,,,,,,,,,,,,,,
,Item 931,Is the LA satisfied with the compliance documents,,,Are we satisfied with these or are there concerns,Placement Request: Are we satisfied with these or are there concerns,Placement Request,,,,,,,,,,,,,,,,
,Item 932,Concerns about placement compliance documents,,,Comments,,Placement Request,,,,,,,,,,,,,,,,
,Item 934,Date of placement visit,,,Date of visit,,Placement Request,,,,,,,,,,,,,,,,
,Item 935,Date of scheduled placement visit,,,Date of scheduled visit,,Placement Request,,,,,,,,,,,,,,,,
,Item 940,Placement provider invoice address,,,Provider Invoice Address,,Placement Request,,,,,,,,,,,,,,,,
,Item 952,Foster placement email,,,Placement Email Address,,Placement Request,,,,,,,,,,,,,,,,
,Item 955,Foster placement service level,,,Service Level,,Placement Request,,,,,,,,,,,,,,,,
,Item 957,Foster placement proposed start date,,,Proposed Start Date,,Placement Request,,,,,,,,,,,,,,,,
,Item 970,Is the foster placement jointly funded,,,Is this jointly funded?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 971,Who is providing joint funding for foster placement,,,Who is jointly funding this?,Placement Request: Joint Funders,Placement Request,,,,,,,,,,,,,,,,
,Item 972,Is there joint funding for adult social care,,,Adult's Social Care,Placement Request: Adult's Social Care,Placement Request,,,,,,,,,,,,,,,,
,Item 973,Is there joint funding for children's social care,,,Children's Social Care,Placement Request: Children's Social Care,Placement Request,,,,,,,,,,,,,,,,
,Item 974,Is there joint funding for the clinical commissioning group,,,Clinical Commissioning Group,Placement Request: Clinical Commissioning Group,Placement Request,,,,,,,,,,,,,,,,
,Item 975,Is there joint funding for education,,,Education,Placement Request: Education,Placement Request,,,,,,,,,,,,,,,,
,Item 976,Funding amounts per funding stream,,,Funding Commitment,,Placement Request,,,,,,,,,,,,,,,,
,Item 977,Childrens social care funding amount,,,CSC - Funding Commitment,,Placement Request,,,,,,,,,,,,,,,,
,Item 978,Clinical commissioning group's funding amount,,,CCG - Funding Commitment,,Placement Request,,,,,,,,,,,,,,,,
,Item 979,Education funding amount,,,Education - Funding Commitment,,Placement Request,,,,,,,,,,,,,,,,
,Item 980,Adult social care funding amount,,,Adults Social Care - Funding Commitment,,Placement Request,,,,,,,,,,,,,,,,
,Item 981,Comments on funding,,,Comments,,Placement Request,,,,,,,,,,,,,,,,
,Item 982,Placement supervisor comments,,,Oversight and Comment of Placement Team Supervisor/Manager,,Placement Request,,,,,,,,,,,,,,,,
,Item 983,Placement authoriser name,,,Authoriser,,Placement Request,,,,,,,,,,,,,,,,
,Item 984,Has senior manager agreed to allow a placement?,,,Has agreement to seek a placement been given by a Duty EDT Senior Manager?,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 985,Name of senior manger agreeing to placement request,,,Name of EDT Duty Senior Manager who has given agreement?,,Placement Request,,,,,,,,,,,,,,,,
,Item 986,Details of placement agreement,,,Details of Agreement,,Placement Request,,,,,,,,,,,,,,,,
,Item 987,Decision of senior manger on placement request date,,,EDT Duty Senior Manager Decision Date,,Placement Request,,,,,,,,,,,,,,,,
,Item 988,Has the proposed placement been agreed to?,,,The Proposed Placement is agreed,Placement Request: 1.Yes/0.No,Placement Request,,,,,,,,,,,,,,,,
,Item 989,Why was the placement disagreed to?,,,Reasons for disagreeing,,Placement Request,,,,,,,,,,,,,,,,
,Item 990,Placement authoriser name?,,,Authoriser,,Placement Request,,,,,,,,,,,,,,,,
,Item 993,Child's CLA status,,,CLA Legal Status,,Placement Request,,,,,,,,,,,,,,,,
,Item 1029,What help does child need with immigration,,,Please specify,,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 1030,Referred to Asylum Support Services?,,,Referral to National Asylum Support Service?,Pathway Plan (PLAN): Yes/No,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 1031,Position of asylum claim?,,,What is the current position of the child/young person's asylum claim?,Pathway Plan (PLAN): What is the current position of the child/young person's asylum claim?,Pathway Plan (PLAN),,,,,,,,,,,,,,,,
,Item 1034,When was the latest early help care plan?,,,Date of latest EHCP,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1044,CLA review as single or multiple sessions?,,,Was the CLA Review carried out as a single meeting or series of meetings?,CLA Review - Record of Decisions: Meeting Parts,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1046,CLA review due date?,,,CLA Review Due Date,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1083,Consultation paper completed?,,,Consultation Paper completed?,CLA Pathway Review Outcomes: 1.Yes/0.No,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1086,How many parents are involved with the child?,,,How many parents are involved with this child?,CLA Pathway Review Outcomes: Number of parents,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1087,"If no parents are involved with the child, why?",,,"If no parents involved, what is the reason for this?",,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1088,What are the parent's views on the review?,,,Parent(s)’ views :,,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1092,Is the parent consultation paper completed?,,,Consultation Paper completed?,CLA Pathway Review Outcomes: 1.Yes/0.No,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1093,What are the carer's views on the review?,,,Carer’s views :,,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1094,Was the carer consultation review completed?,,,Consultation Paper completed?,CLA Pathway Review Outcomes: 1.Yes/0.No,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1095,What are the chair's comments on the CLA plan?,,,Chair’s comments on plan,,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1100,Date care panel agreed to a placement,,,Date Care Panel Agreed Placement,,Care Panel,,,,,,,,,,,,,,,,
,Item 1101,Date current placement started,,,Date current Placement started,,Care Panel,,,,,,,,,,,,,,,,
,Item 1102,Why is the child having a care panel?,,,Reason for coming to panel,,Care Panel,,,,,,,,,,,,,,,,
,Item 1103,"Why is a panel needed, what has been done to help find suitable care for the child's needs?",,,"Please give details of reasons for presenting this case to panel, attempts that have been made to find an alternative to care and what resource would meet this Child / Young Person's needs",,Care Panel,,,,,,,,,,,,,,,,
,Item 1106,What is the rehabilitation plan for the child/placement?,,,What is your rehabilitation plan?,,Care Panel,,,,,,,,,,,,,,,,
,Item 1107,What is your alternative permanency plan?,,,What is your alternative permanency plan?,,Care Panel,,,,,,,,,,,,,,,,
,Item 1109,Does the service manager know a child's case is going to a care panel?,,,Is the Service Manager aware of the Child/Young Person's case is going to Care Panel? ,Care Panel: Yes No,Care Panel,,,,,,,,,,,,,,,,
,Item 1121,View of the independent reviewing officer,,,independent reviewing officer view,,Care Panel,,,,,,,,,,,,,,,,
,Item 1122,Care panel (Outcome),,,Outcome of panel,"Placement Change
Edge of Care
Enter Care
Enter Care - Remanded in Local Authority Care
Long Term Fostering IFA financial approval
One off financial support to permanence
Housing Costs
Staying Put
Post 18 Placement Extension
Residential Provision / Distant Placement Review Complete
Retainer
",Care Panel,,,,,,,,,,,,,,,,
,Item 1123,Has a semi independent provision review been completed?,,,Semi Independent Provision Review Complete,,Care Panel,,,,,,,,,,,,,,,,
,Item 1124,What type of placement type will the child be placed in,,Placement type,Placement Type,,Care Panel,,,,,,,,,,,,,,,,
,Item 1125,Care panel outcome (band of care),,,Band,Care Panel: Banding,Care Panel,,,,,,,,,,,,,,,,
,Item 1126,Additional cost to care plan?,,,Item (Service),,Care Panel,,,,,,,,,,,,,,,,
,Item 1127,Maximum cost of care plan?,,,Cost (maximum),,Care Panel,,,,,,,,,,,,,,,,
,Item 1128,Can the child's placement be supported with joint funding?,,,Is there potential for joint funding?,,Care Panel,,,,,,,,,,,,,,,,
,Item 1129,Name of person completing plan,,,Plan completed by:,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1130,Does the child have any already open plans?,,,Does this child / young person have any other relevant open plans?,CLA Care Plan: Other Plans,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1131,"Is this an education, and health care plan?",,,"Education, Health & Care Plan", ,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1132,Is this a child protection plan?,,,Child Protection Plan,CLA Care Plan: Child Protection Plan,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1133,Is this another type of plan?,,,Other,CLA Care Plan: Other,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1135,When was the last 'other' plan?,,,Date of latest Other Plan,,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1137,Does the child need a contextual safeguarding plan?,,,Does the Child/YP need a Contextual Safeguarding Plan?,CLA Care Plan: Yes/No,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1139,Do the child's contact arrangements need to change?,,,Are there any changes required in the contact arrangements for the child/young person?,CLA Care Plan: 1.Yes/0.No,CLA Care Plan,,,,,,,,,,,,,,,,
,Item 1145,Did the child help to plan the CLA review?,,,Did you the Child/Young Person contribute to the planning of the review?,CLA Review - Record of Decisions: Yes/No/NA,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1147,Did the child attend the review meeting?,,,Did the child/young person attend the review meeting?,CLA Review - Record of Decisions: 1.Yes/0.No,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1148,Did the CLA review meeting have a co-chair?,,,Was the meeting co-chaired?,CLA Review - Record of Decisions: 1.Yes/0.No,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1149,Child's participation code,,Method of participation in each review,Please enter the child/young persons participation code,CLA Review - Record of Decisions: Meeting Participation,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1150,Has a parent consultation paper been completed?,,,Consultation Paper completed?,CLA Review - Record of Decisions: 1.Yes/0.No,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1151,What are the child/young person's feelings?,,,Child / young person’s wishes and feelings :,,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1152,How many parents are involved with the child?,,,How many parents are involved with this child?,CLA Review - Record of Decisions: Number of parents,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1153,"If no parents are involved with the child, why?",,,"If no parents involved, what is the reason for this?",,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1155,Parents participation in CLA,,,Parent participation,CLA Review - Record of Decisions: Parent Participation,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1156,Has a carer consultation paper been completed?,,,Consultation Paper completed?,CLA Review - Record of Decisions: 1.Yes/0.No,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1158,Has a chair consultation paper been completed?,,,Consultation Paper completed?,CLA Review - Record of Decisions: 1.Yes/0.No,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1159,Chair comments on CLA plan,,,Chair’s comments on plan,,CLA Review - Record of Decisions,,,,,,,,,,,,,,,,
,Item 1161,Is this a subsequent CLA review?,,,Is this a second or subsequent review?,CLA Review - Record of Decisions: Yes/No,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1162,Did the independent reviewing officer make a recommendation at this review about permanence?,,,IRO to include a recommendation at this review about permanence,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1163,CLA Review date,,,Review Date,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1164,CLA Review decision,,,"Decision
Outcome",,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1165,Person acting on CLA decision,,,Person,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1166,Timeframe to act on CLA decision,,,Timeframe,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1167,Child's legal status after CLA decision,,,Status,CLA Review - Record of Decisions: Status,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1170,Record of CLA decisions date,,,CLA Review - Record of Decisions - Completion Date,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1178,Does the child or a person in their life think the child needs an advocate for a CLA review?,,,Does the young person or anyone in their life think that an advocate would be helpful?,CLA Review - Record of Decisions: 1.Yes/0.No,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1180,Has a referral been made since the CLA review?,,,Has a referral been made?,CLA Review - Record of Decisions: 1.Yes/0.No,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1181,Date of CLA review referral,,,Date of referral,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1184,What is the young person's view on the referral?,,,What is the young person's view?,CLA Pathway Review Outcomes: Interest,CLA Pathway Review Outcomes,,,,,,,,,,,,,,,,
,Item 1185,Is the child happy with their independent visitor's input?,,,Is the child/young person happy with their IV input?,CLA Review - Record of Decisions: 1.Yes/0.No,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1191,Has the child previously been adopted or left care?,,,Has the child / young person previously been adopted or left care for special guardianship or residence order?,CLA Review - Record of Decisions: Has the child / young person previously been adopted or left care for special guardianship or residence order?,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1192,Specify when the child has previously left care?,,,"If so, please specify","CLA Review - Record of Decisions: If so, please specify","CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1193,Was feedback received on the review?,,,Was feedback received?,CLA Review - Record of Decisions: 1.Yes/0.No,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Item 1194,What feedback was given on the review?,,,Feedback Received,,"CLA Review - Record of Decisions
CLA Pathway Review Outcomes",,,,,,,,,,,,,,,,
,Iterm 1244,What is the impact of the CLA plan on the child?,,,What is the impact on child/young person?,,CLA Progress Report (Worker),,,,,,,,,,,,,,,,
,Iterm 1306,Which permanency plan does this action relate to?,,,Which Permanency Plan does this relate to?,CLA Progress Report (Worker): PP,CLA Progress Report (Worker),,,,,,,,,,,,,,,,
,Iterm 1307,What progress has been made on the permanency plan?,,,Progress,,CLA Progress Report (Worker),,,,,,,,,,,,,,,,
