,item number,data item,croydon main reason for recording data item,essex main reason for recording local data item,sutton main reason for recording local data item,camden main reason for recording local data item
221,Item 218,Next of kin contact details,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
239,Item 235,"Aspirations, ways child wishes to change",1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
286,Item 281,Financial plan score,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
289,Item 284,Other's views on financial plan,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
327,Item 321,Living place form score,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
330,Item 324,Other's views on living place,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
349,Item 342,Does the child have a personal education plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
367,Item 360,Score for EET form?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
368,Item 361,Child's view on EET form?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
394,Item 386,Last GP visit?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
398,Item 390,Child registered with dentist?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
399,Item 391,Dentist name,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
400,Item 392,Dentist Address,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
418,Item 410,Does child have physical health problems affecting day-to-day living?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
419,Item 411,Details regarding health problems affecting day-to-day living?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
446,Item 438,How can child make positive changes to physical health?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
461,Item 453,Child's view of health,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
463,Item 455,Other's view of health,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
473,Item 465,Health form score?,,,,
490,Item 481,Does child have contact with everyone they want contact with?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
496,Item 487,Contact (Relationship),1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
621,Item 609,Role of pathway plan,1. For social work practitioners and/or the child/YP,,2. For management oversight of case decisions and accountability purposes,
624,Item 612,Legal order being sought with this care plan?,1. For social work practitioners and/or the child/YP,,2. For management oversight of case decisions and accountability purposes,
625,Item 613,Specify other order supporting care plan,1. For social work practitioners and/or the child/YP,,2. For management oversight of case decisions and accountability purposes,
626,Item 614,Permanency plan timeframe,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
631,Item 619,Parallel plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
632,Item 620,What is the parallel plan for permanency?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
633,Item 621,Timeframe for parallel plan for permanency?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
634,Item 622,Specify parallel plan for permanency?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
635,Item 623,Is there a 2nd parallel permanency plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
636,Item 624,What is the 2nd parallel permanency plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
637,Item 625,Timeframe for 2nd parallel permanency plan,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
638,Item 626,Specify 2nd parallel permanency plan,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
639,Item 627,Is there a 3rd parallel permanency plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
640,Item 628,Timeframe for 3rd parallel permanency plan?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
664,Item 652,Contingency plan to return to parents?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
676,Item 664,Carer's views on placement plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
678,Item 666,Contingency plan if child's placement/living arrangements fall through/cannot be financed?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
720,Item 708,What area does the plan address?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
721,Item 709,"What are the aspirations for the child, what needs to change with the care plan?",1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
722,Item 710,How can we measure there changes?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
723,Item 711,How will we make these changes?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
724,Item 712,Who will make these changes?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
725,Item 713,When will these actions be taken?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
727,Item 715,What role does the plan aim to take?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
731,Item 719,When did the plan start?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
732,Item 720,When will the plan end?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
733,Item 721,What is the agency's address?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
741,Item 729,The child in care could feel safe if…,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
742,Item 730,The child in care does not feel safe,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
793,Item 780,Child's journey/story before the current placement request,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
805,Item 792,Proposed legal status for child with CLA request,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
807,Item 794,Has a long term placement been agreed?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
808,Item 795,Expected placement request duration,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
813,Item 800,Should the child be the only child in the placement?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
814,Item 801,Should the child be the oldest child in the placement?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
815,Item 802,Should the child be the youngest child in the placement?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
816,Item 803,Can this child only be placed with the same gender?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
817,Item 804,Reason for specific age/gender placement,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
841,Item 828,Name of person who can meet medical needs,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
906,Item 893,Will the LA's fostering service provide the placement?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
950,Item 937,Placement provider type,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
952,Item 939,Placement provider head office,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
954,Item 941,Placement provider email address,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
955,Item 942,Placement provider phone number,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
956,Item 943,Unique reference number,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
957,Item 944,Date of placement's most recent Ofsted inspection,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
963,Item 950,Foster carer/Home manger name,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
964,Item 951,Foster placement address,,,,
966,Item 953,Foster placement phone number,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
969,Item 956,Foster placement cost per week,1. For social work practitioners and/or the child/YP,,3. For LA reporting purposes and generating performance indicators,
971,Item 958,Foster placement end date,1. For social work practitioners and/or the child/YP,,3. For LA reporting purposes and generating performance indicators,
972,Item 959,Total foster placement cost per week,1. For social work practitioners and/or the child/YP,,3. For LA reporting purposes and generating performance indicators,
1034,Item 1020,Childs routines (Communication),1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1035,Item 1021,Childs routines (Mealtimes),1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1036,Item 1022,Childs routines (Bedtimes),1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1037,Item 1023,Childs routines (Fears),1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1122,Item 1105,"What outcomes are wanted for the child from the panel, what has been tried, what has and hasn't worked, what's needed now?",2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1134,Item 1117,Actions agreed as an outcome of the care panel,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1163,Item 1146,Why did the child not help to plan the review?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1171,Item 1154,Parent's views on CLA,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1174,Item 1157,Carer's views on CLA plan,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1177,Item 1160,Has a potential plan/contingency/parallel plan been identified in the review?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1196,Item 1179,Was the option to have an independent advisor given for the CLA review?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1200,Item 1183,What is the child's view of the review?,2. For management oversight of case decisions and accountability purposes,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,
1203,Item 1186,Is there a personal education plan available?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1212,Item 1195,What decisions were made as a result of the review?,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1259,Item 1241,Form completed date,2. For management oversight of case decisions and accountability purposes,,3. For LA reporting purposes and generating performance indicators,
1260,Item 1242,What in the CLA plan is working well?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1261,Item 1243,What in the CLA plan is causing worries?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1263,Item 1245,What grey areas are there about the impact of the CLA plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1264,Item 1246,What is the assessment and analysis of the CLA plan?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1316,Item 1298,Specify other legal order supporting plan,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,
1322,Item 1304,When will the CLA plan action be taken?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,
1334,Item 1315,Actual meeting date,2. For management oversight of case decisions and accountability purposes,,3. For LA reporting purposes and generating performance indicators,
1335,Item 1316,Location of meeting,2. For management oversight of case decisions and accountability purposes,,3. For LA reporting purposes and generating performance indicators,
