data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 1344,reason for next action for child leaving care,,,,,,,,,,,,,,,Reason,N/A (Free text entry),Discharge from care,,,,
,Item 1345,Notes on next action for child leaving care,,,,,,,,,,,,,,,Note,N/A (Free text entry),Discharge from care,,,,
,Item 1346,Priority for action for child leaving care,,,,,,,,,,,,,,,Set priority,"Urgent, Normal, Low",Discharge from care,,,,
,Item 1347,Status of actions on child leaving care,,,,,,,,,,,,,,,Status,,Discharge from care,,,,
,Item 1416,Young person CLA Agreement date,,,,,,,,,,,,,,,Young person Date,,CLA Placement and Health Consent Form,,,,
,Item 1417,Parental responsibility person name,,,,,,,,,,,,,,,Parent (or person with parental responsibility) Name,,CLA Placement and Health Consent Form,,,,
,Item 1419,Parental responsibility consent,,,,,,,,,,,,,,,Parent (or person with parental responsibility) I/we consent to,,CLA Placement and Health Consent Form,,,,
,Item 1420,Consent by parents  I/we consent to,,,,,,,,,,,,,,,Consent by parents  I/we consent to,,CLA Placement and Health Consent Form,,,,
,Item 1421,Parental responsibility agreement,,,,,,,,,,,,,,,Parent (or person with parental responsibility) I/we understand that we retain parental responsibility for my/our child and would like to be consulted on the following aspects of their care.,N/A (Free text entry),CLA Placement and Health Consent Form,,,,
,Item 1424,"Residential worker, foster carer or housing pathway keyworker Name",,,,,,,,,,,,,,,"Residential worker, foster carer or housing pathway keyworker Name",N/A (Free text entry),CLA Placement and Health Consent Form,,,,
,Item 1425,"Residential worker, foster carer or housing pathway keyworker Date",,,,,,,,,,,,,,,"Residential worker, foster carer or housing pathway keyworker Date",,CLA Placement and Health Consent Form,,,,
,Item 1427,Social worker CLA agreement date,,,,,,,,,,,,,,,Social Worker Date,,CLA Placement and Health Consent Form,,,,
,Item 1452,People seen relationship,,,,,,,,,,,,,,,Persons Seen Relationship,N/A (Free text entry),CLA Visit,,,,
,Item 1463,SW completing visit,,,,,,,,,,,,,,,Visit completed by ,Checking adds details of worker who entered information,CLA Visit,,,,
,Item 1465,Next actions from CLA Visit,,,,,,,,,,,,,,,Next action,"Next child looked after visit
No further CLA visit required",CLA Visit,,,,
,Item 1466,Set priority for actions from CLA visit,,,,,,,,,,,,,,,Set priority,"Urgent, Normal, Low",CLA Visit,,,,
,Item 1467,Notes on actions from CLA Visit,,,,,,,,,,,,,,,Note,,CLA Visit,,,,
,Item 1468,Send immediately for actions from CLA Visit,,,,,,,,,,,,,,,Send Immediately?,,CLA Visit,,,,
,Item 1469,Pass actions from CLA Visit to worker,,,,,,,,,,,,,,,Pass to worker,,CLA Visit,,,,
,Item 1782,What aspects of day to day have not been delegated to the carer?,,,,,,,,,,,,,,,What aspects of day to day have not been delegated to the carer?,N/A (Free text entry),Placement Plan,,,,
,Item 1812,Head of service consent for medical treatments,,,,,,,,,,,,,,,Consent by the Head of Service for CLA for medical treatment I confirm that,"Yes/No
Date
Signature",CLA Placement and Health Consent Form,,,,
,Item 1813,Head of service specific treatment consent,,,,,,,,,,,,,,,"Consent by the Director for CLA for medical treatment As their corporate parent, I consent to the child receiving the above-mentioned medical treatment for as long as the care order is in place and delegate responsibility for decisions to","Name
Date 
Signature
Confirmation
Confirmation child is CLA
Confirmation of delegation of responsibility",CLA Placement and Health Consent Form,,,,
,Item 1814,Person with parental responsibility medical consent,,,,,,,,,,,,,,,Parent (or other person with PR) consent regarding child's health information,"YES
NO
Signature
Date",,,,,
,Item 1815,"Medical consent by carer, residential worker",,,,,,,,,,,,,,,To be signed by foster carer or residential worker for child subject to an ICO or Full Care Order PROFESSIONAL DESIGNATION,"Professional designation
Name
Date
Signature",CLA Placement and Health Consent Form,,,,
,Item 1591,"If the review was not held within timescales, identify the reason",,,,,,,,,,,,,,,"If the review was not held within timescales, identify the reason","Social Worker unavailable, IRO unavailable, Cancelled due to ill health of key participant, Other",CLA review IRO monitoring info ,,,,
,Item 1592,Were all significant people consulted / involved in preparing for the review meeting?,,,,,,,,,,,,,,,Were all significant people consulted / involved in preparing for the review meeting?,"Yes, No",CLA review IRO monitoring info ,,,,
,Item 1593,Have carers completed the consultation booklets?,,,,,,,,,,,,,,,Have carers completed the consultation booklets?,"Yes, No, Not applicable, Not known",CLA review IRO monitoring info ,,,,
,Item 1594,Did the Social Worker attend the review?,,,,,,,,,,,,,,,Did the Social Worker attend the review?,"Yes, No, Not known",CLA review IRO monitoring info ,,,,
,Item 1595,"If applicable, did the supervising Social Worker attend the review?",,,,,,,,,,,,,,,"If applicable, did the supervising Social Worker attend the review?","Yes, No, Not applicable, Not known",CLA review IRO monitoring info ,,,,
,Item 1596,"If applicable, did the adoption Social Worker attend the review?",,,,,,,,,,,,,,,"If applicable, did the adoption Social Worker attend the review?","Yes, No, Not applicable, Not known",CLA review IRO monitoring info ,,,,
,Item 1597,Any other information about the appropriateness of the placement in relation to race / religion / culture / language,,,,,,,,,,,,,,,Any other information about the appropriateness of the placement in relation to race / religion / culture / language,N/A (Free text entry),CLA review IRO monitoring info ,,,,
,Item 1598,Is there anything else which could have been done to meet the young person’s needs (including disability / race / religion / cultural / language issues)?,,,,,,,,,,,,,,,Is there anything else which could have been done to meet the young person’s needs (including disability / race / religion / cultural / language issues)?,N/A (Free text entry),CLA review IRO monitoring info ,,,,
,Item 1602,"If the child / young person attended describe how they were supposed to contribute. If they did not attend, please record why",,,,,,,,,,,,,,,"If the child / young person attended describe how they were supposed to contribute. If they did not attend, please record why",N/A (Free text entry),CLA review IRO monitoring info ,,,,
,Item 1603,Child / young person consulted on issues related to review meeting,,,,,,,,,,,,,,,Child / young person consulted on issues related to review meeting,"Date, Time, Venue, Agenda, Participants",CLA review IRO monitoring info ,,,,
,Item 1604,"If the child / young person was not consulted, explain why",,,,,,,,,,,,,,,"If the child / young person was not consulted, explain why",N/A (Free text entry),CLA review IRO monitoring info ,,,,
,Item 1605,How were the birth mother's views obtained?,,,,,,,,,,,,,,,How were the birth mother's views obtained?,"Attended review, Via an Advocate / Social Worker, Not obtained, Seen by IRO, British Sign Language, Consultation booklet, Makaton, Electronic communication, Written communication, Telephone, Interpreter",CLA review IRO monitoring info ,,,,
,Item 1606,How were the birth father's views obtained?,,,,,,,,,,,,,,,How were the birth father's views obtained?,"Attended review, Via an Advocate / Social Worker, Not obtained, Seen by IRO, British Sign Language, Consultation booklet, Makaton, Electronic communication, Written communication, Telephone, Interpreter",CLA review IRO monitoring info ,,,,
,Item 1607,"If applicable, has a Permanence Plan been agreed by the four month review?",,,,,,,,,,,,,,,"If applicable, has a Permanence Plan been agreed by the four month review?","Yes, No, Not applicable, Not known",CLA review IRO monitoring info ,,,,
,Item 1608,Does the young person have an exit plan?,,,,,,,,,,,,,,,Does the young person have an exit plan?,"Yes, No, Not known",CLA review IRO monitoring info ,,,,
,Item 1609,"If applicable, was the review combined with an Annual Education Review?",,,,,,,,,,,,,,,"If applicable, was the review combined with an Annual Education Review?","Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1610,"If applicable, has a Life Story Book been given to adopters by the first review of placement?",,,,,,,,,,,,,,,"If applicable, has a Life Story Book been given to adopters by the first review of placement?","Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1611,OC2 substance misuse information Does the child / young person have a substance misuse problem?,,,,,,,,,,,,,,,OC2 substance misuse information Does the child / young person have a substance misuse problem?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1612,OC2 substance misuse information Does the child / young person receive intervention for any substance misuse problem?,,Substance use intervention received,,,,,,,,,,,,,OC2 substance misuse information Does the child / young person receive intervention for any substance misuse problem?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1613,OC2 substance misuse information Was the child / young person offered intervention but refused it?,,Substance use intervention received,,,,,,,,,,,,,OC2 substance misuse information Was the child / young person offered intervention but refused it?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1614,OC2 substance misuse information Is the child / young person involved with guns or gangs?,,,,,,,,,,,,,,,OC2 substance misuse information Is the child / young person involved with guns or gangs?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1615,OC2 substance misuse information Is there a sexual exploitation issue for the child / young person?,,,,,,,,,,,,,,,OC2 substance misuse information Is there a sexual exploitation issue for the child / young person?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1616,OC2 substance misuse information Is there a mental health issue for the child / young person?,,,,,,,,,,,,,,,OC2 substance misuse information Is there a mental health issue for the child / young person?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1617,OC2 substance misuse information Is the child / young person involved in absconding / going missing from home?,,,,,,,,,,,,,,,OC2 substance misuse information Is the child / young person involved in absconding / going missing from home?,"Yes, No, Not known, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1618,ls there an up to date Child / Young Person's Plan?,,,,,,,,,,,,,,,ls there an up to date Child / Young Person's Plan?,"Yes, Plan needs completing, Plan needs updating",CLA review IRO monitoring info ,,,,
,Item 1619,Is there an up to date Care Plan?,,,,,,,,,,,,,,,Is there an up to date Care Plan?,"Yes, Plan needs completing, Plan needs updating",CLA review IRO monitoring info ,,,,
,Item 1620,Is there an up to date Child Protection Plan?,,,,,,,,,,,,,,,Is there an up to date Child Protection Plan?,"Yes, Plan needs completing, Plan needs updating",CLA review IRO monitoring info ,,,,
,Item 1621,Is there an up to date Personal Education Plan?,,,,,,,,,,,,,,,Is there an up to date Personal Education Plan?,"Yes, Plan needs completing, Plan needs updating",CLA review IRO monitoring info ,,,,
,Item 1622,Is IRO satisfied with current Pathway Plan?,,,,,,,,,,,,,,,Is IRO satisfied with current Pathway Plan?,"Yes, No, Not applicable",CLA review IRO monitoring info ,,,,
,Item 1623,Is the child / young person attending school?,,,,,,,,,,,,,,,Is the child / young person attending school?,"Yes, No",CLA review IRO monitoring info ,,,,
,Item 1624,"
Reason for child not attending school",,,,,,,,,,,,,,,"
Reason for child not attending school",N/A (Free text entry),CLA review IRO monitoring info ,,,,
